##Instituição;Cod.IBGE;UF;População;"01 - Legislativa";"02 - Judiciária";"03 - Essencial à Justiça";"04 - Administração";"05 - Defesa Nacional";"06 - Segurança Pública";"07 - Relações Exteriores";"08 - Assistência Social";"09 - Previdência Social";"10 - Saúde";"11 - Trabalho";"12 - Educação";"13 - Cultura";"14 - Direitos da Cidadania";"15 - Urbanismo";"16 - Habitação";"17 - Saneamento";"18 - Gestão Ambiental";"19 - Ciência e Tecnologia";"20 - Agricultura";"21 - Organização Agrária";"22 - Indústria";"23 - Comércio e Serviços";"24 - Comunicações";"25 - Energia";"26 - Transporte";"27 - Desporto e Lazer";"28 - Encargos Especiais";"Despesas (Exceto Intraorçamentárias)";"Despesas (Intraorçamentárias)";lof_relativo_med
Prefeitura Municipal de Chupinguaia - RO; 1100924; RO; 9887; 1.87% / 1191420.29 / 696931.93; 0.02% / 0 / 6276.93; 0.01% / 3480.00 / 0.00; 14.98% / 6340881.79 / 2376849.57; 0.00% / 0 / 0.00; 0.04% / 0 / 11441.28; 0.00% / 0 / 0.00; 1.12% / 410785.15 / 707602.16; 1.40% / 0 / 369592.33; 9.76% / 6962023.83 / 4378259.25; 0.02% / 0 / 5215.31; 14.21% / 10752296.88 / 6992718.33; 0.59% / 0 / 157042.50; 0.00% / 0 / 440.00; 5.03% / 97524.76 / 1427982.63; 0.02% / 0 / 4348.43; 0.26% / 16975.82 / 86504.19; 0.09% / 0 / 24571.78; 0.00% / 0 / 0.00; 0.42% / 99897.94 / 211825.89; 0.00% / 0 / 0.00; 0.00% / 0 / 310.38; 0.15% / 0 / 38448.80; 0.00% / 0 / 0.00; 0.14% / 0 / 36261.29; 5.41% / 1662924.29 / 231522.95; 0.48% / 0 / 127285.15; 3.44% / 1235379.78 / 325392.93; 39.90% / 28773590.53 / 18216824.02; 0.63% / 0 / 167769.96; 1.54
Prefeitura Municipal de Itaipulândia - PR; 4110953; PR; 10056; 0.89% / 0 / 611983.27; 0.00% / 0 / 107.02; 0.00% / 0 / 1713.41; 11.49% / 10105636.21 / 2215470.79; 0.00% / 0 / 0.00; 0.03% / 0 / 20105.38; 0.00% / 0 / 0.00; 1.01% / 1448247.17 / 751536.85; 1.58% / 1660622.95 / 577227.89; 9.44% / 11137621.07 / 4657777.36; 0.01% / 0 / 8730.15; 15.86% / 17058491.69 / 6169906.42; 0.86% / 765855.30 / 173684.86; 0.00% / 0 / 1160.00; 0.83% / 1729286.34 / 1161898.93; 0.22% / 155000.00 / 7409.30; 0.08% / 109163.20 / 165812.94; 0.96% / 711364.95 / 51375.00; 0.00% / 0 / 0.00; 2.01% / 1689586.82 / 309149.83; 0.00% / 0 / 0.00; 0.76% / 522562.69 / 985.66; 0.54% / 394009.44 / 26523.77; 0.00% / 0 / 1204.37; 0.03% / 0 / 20204.05; 2.95% / 2546875.66 / 525216.98; 0.91% / 763740.60 / 138481.88; 0.48% / 626854.09 / 298840.16; 48.85% / 51424918.18 / 17896506.26; 0.21% / 0 / 141899.14; 1.57
Prefeitura Municipal de Ilha Comprida - SP; 3520426; SP; 10102; 0.70% / 1829439.26 / 617169.07; 0.00% / 0 / 107.02; 0.44% / 767647.86 / 4583.41; 8.44% / 16934208.26 / 2346109.24; 0.00% / 0 / 0.00; 0.01% / 0 / 20105.38; 0.00% / 0 / 0.00; 0.98% / 2440738.55 / 752062.00; 0.30% / 0 / 524389.41; 8.51% / 19359773.93 / 4643564.44; 0.72% / 1246738.69 / 8730.15; 7.15% / 18559573.10 / 6204464.40; 1.78% / 3261472.44 / 183042.80; 0.00% / 0 / 4585.41; 12.78% / 23246852.74 / 1156776.06; 0.00% / 0 / 7409.30; 1.26% / 2342332.49 / 165905.34; 0.03% / 0 / 46027.46; 0.00% / 0 / 0.00; 0.16% / 0 / 279879.13; 0.00% / 0 / 0.00; 0.00% / 0 / 985.66; 6.52% / 11294518.51 / 26523.77; 0.00% / 0 / 1204.37; 0.01% / 0 / 20204.05; 0.30% / 0 / 521192.99; 0.70% / 1344185.60 / 132570.52; 0.17% / 0 / 292441.91; 48.97% / 102627481.43 / 17960033.31; 0.08% / 0 / 141899.14; 5.76
Prefeitura Municipal de Barracão - PR; 4102604; PR; 10187; 4.47% / 0 / 620227.01; 0.00% / 0 / 84.06; 0.03% / 0 / 4583.41; 4.06% / 3042820.93 / 2480086.73; 0.00% / 0 / 0.00; 0.13% / 0 / 18292.86; 0.00% / 0 / 0.00; 5.69% / 1547985.73 / 759268.50; 2.81% / 0 / 389624.89; 15.22% / 6875886.82 / 4765876.51; 0.03% / 0 / 3514.84; 12.41% / 4818810.43 / 6539475.49; 1.10% / 60779.34 / 213003.48; 0.03% / 0 / 4585.41; 6.15% / 2050101.21 / 1196769.04; 0.07% / 0 / 9290.02; 1.26% / 34681.54 / 209048.56; 0.23% / 6859.78 / 39346.64; 0.00% / 0 / 0.00; 6.57% / 1202126.09 / 291042.10; 0.00% / 0 / 0.00; 0.50% / 70390.94 / 985.66; 1.68% / 241435.86 / 8851.19; 0.71% / 99516.79 / 1204.37; 0.14% / 0 / 19509.77; 5.40% / 1243069.56 / 493991.44; 1.44% / 347051.41 / 147627.76; 2.49% / 0 / 345408.12; 22.21% / 21641516.43 / 18561697.85; 5.17% / 850936.26 / 134418.40; 1.56
Prefeitura Municipal de Rosário do Catete - SE; 2806107; SE; 10191; 3.07% / 2894140.39 / 619253.24; 1.04% / 772861.84 / 84.06; 0.01% / 0 / 4583.41; 11.04% / 10619249.69 / 2448897.84; 0.00% / 0 / 0.00; 0.02% / 0 / 16756.60; 0.00% / 0 / 0.00; 4.40% / 4004238.80 / 748766.40; 0.58% / 0 / 426601.39; 7.67% / 10401300.90 / 4721892.31; 0.00% / 0 / 3514.84; 8.89% / 12979589.36 / 6402216.77; 4.24% / 3354558.69 / 218132.45; 0.01% / 0 / 4585.41; 8.17% / 7312183.95 / 1262100.20; 0.01% / 0 / 8712.69; 0.29% / 0 / 213329.98; 0.05% / 0 / 38717.61; 0.00% / 0 / 0.00; 0.40% / 540607.54 / 247409.93; 0.00% / 0 / 0.00; 0.00% / 0 / 675.28; 0.01% / 0 / 8303.63; 0.00% / 0 / 1204.37; 0.04% / 0 / 28806.01; 0.57% / 0 / 424354.89; 0.99% / 881296.97 / 148653.60; 0.44% / 0 / 328637.04; 47.87% / 53760028.13 / 18326189.96; 0.18% / 0 / 134418.40; 1.82
Prefeitura Municipal de Apiúna - SC; 4201257; SC; 10211; 0.05% / 678839.36 / 690624.61; 0.01% / 2263.45 / 84.06; 0.02% / 0 / 4583.41; 1.09% / 2331603.52 / 2604209.38; 0.00% / 0 / 0.00; 0.28% / 86703.19 / 16756.60; 0.00% / 0 / 0.00; 0.75% / 566714.71 / 754111.36; 1.71% / 0 / 426601.39; 6.86% / 6621092.27 / 4909010.60; 0.01% / 0 / 3514.84; 9.60% / 8891002.59 / 6495233.40; 0.66% / 72503.39 / 236730.24; 0.01% / 0 / 3425.41; 5.33% / 0 / 1331487.72; 0.03% / 0 / 8712.69; 0.83% / 0 / 207666.88; 0.27% / 115641.02 / 48084.43; 0.00% / 0 / 0.00; 2.93% / 989985.96 / 257354.70; 0.00% / 0 / 0.00; 0.00% / 0 / 675.28; 3.42% / 862906.31 / 8303.63; 0.44% / 112211.04 / 2903.67; 1.25% / 341460.60 / 28806.01; 20.08% / 5428595.59 / 416745.87; 0.71% / 332183.03 / 155065.12; 3.92% / 1305910.12 / 328243.53; 39.26% / 28739616.15 / 18938934.81; 0.48% / 0 / 118639.64; 1.64
Prefeitura Municipal de Coronel Freitas - SC; 4204400; SC; 10236; 0.15% / 659099.16 / 696967.14; 0.00% / 0 / 84.06; 0.02% / 0 / 4583.41; 4.68% / 3940294.26 / 2757026.40; 0.00% / 0 / 0.00; 0.16% / 56839.15 / 16756.60; 0.00% / 0 / 0.00; 2.47% / 1380580.79 / 754769.12; 1.59% / 0 / 403567.65; 2.70% / 5681432.83 / 4999200.05; 0.01% / 0 / 3514.84; 1.11% / 6641432.83 / 6360984.16; 0.09% / 247428.74 / 224972.90; 0.01% / 0 / 3425.41; 8.75% / 3470110.99 / 1256071.03; 0.57% / 150092.81 / 6962.69; 19.29% / 5059785.84 / 178456.65; 0.19% / 0 / 48396.93; 0.00% / 0 / 0.00; 3.47% / 1147971.77 / 268637.49; 0.00% / 0 / 0.00; 0.00% / 0 / 675.28; 0.03% / 0 / 8303.63; 0.01% / 0 / 2903.67; 0.79% / 228684.07 / 28806.01; 5.13% / 1751830.74 / 453875.94; 0.61% / 311911.21 / 156326.19; 1.24% / 0 / 314502.66; 46.54% / 30727495.19 / 18949769.90; 0.39% / 0 / 98208.31; 1.69
Prefeitura Municipal de Santa Maria Madalena - RJ; 3304607; RJ; 10253; 1.31% / 0 / 715312.96; 0.01% / 0 / 4042.30; 0.01% / 0 / 2870.00; 15.86% / 11497131.69 / 2819533.67; 0.00% / 0 / 675.75; 0.06% / 56149.35 / 22329.51; 0.00% / 0 / 0.00; 1.11% / 1361303.98 / 755511.57; 5.63% / 3425626.15 / 346212.87; 10.66% / 10955197.40 / 5125439.96; 1.57% / 871790.57 / 12323.92; 10.91% / 12405810.93 / 6438604.16; 0.07% / 222926.23 / 262891.77; 0.01% / 0 / 3682.91; 0.03% / 1298501.40 / 1281852.89; 0.02% / 0 / 8293.34; 0.47% / 0 / 258417.26; 0.08% / 328.67 / 43568.67; 0.00% / 0 / 0.00; 0.19% / 371143.84 / 266003.87; 0.00% / 0 / 0.00; 0.00% / 0 / 675.28; 2.68% / 1472991.56 / 8303.63; 0.08% / 47352.70 / 2903.67; 0.07% / 0 / 37970.74; 1.11% / 1105895.96 / 497765.71; 0.26% / 35717.41 / 176956.59; 0.60% / 0 / 328735.78; 47.00% / 45127867.84 / 19420878.77; 0.21% / 0 / 115440.84; 2.05
Prefeitura Municipal de Catunda - CE; 2303659; CE; 10257; 0.22% / 737488.66 / 715312.96; 0.04% / 0 / 4042.30; 0.03% / 0 / 2870.00; 0.32% / 2852690.73 / 2819533.67; 0.01% / 0 / 675.75; 0.22% / 0 / 22329.51; 0.00% / 0 / 0.00; 3.49% / 1115204.70 / 755511.57; 3.36% / 0 / 346212.87; 0.95% / 5222947.58 / 5125439.96; 0.12% / 0 / 12323.92; 35.74% / 10123848.96 / 6438604.16; 0.25% / 288883.99 / 262891.77; 0.04% / 0 / 3682.91; 5.54% / 1853183.13 / 1281852.89; 0.08% / 0 / 8293.34; 2.51% / 0 / 258417.26; 0.41% / 957.20 / 43568.67; 2.94% / 303296.93 / 0.00; 2.58% / 0 / 266003.87; 0.00% / 0 / 0.00; 0.01% / 0 / 675.28; 0.08% / 0 / 8303.63; 0.03% / 0 / 2903.67; 0.37% / 0 / 37970.74; 4.83% / 0 / 497765.71; 1.71% / 948.00 / 176956.59; 3.19% / 0 / 328735.78; 29.85% / 22499449.88 / 19420878.77; 1.12% / 0 / 115440.84; 2.38
Prefeitura Municipal de Roseira - SP; 3544301; SP; 10257; 0.53% / 812931.58 / 715312.96; 4.58% / 852530.94 / 4042.30; 0.02% / 0 / 2870.00; 6.82% / 1555794.27 / 2819533.67; 0.00% / 0 / 675.75; 0.12% / 0 / 22329.51; 0.00% / 0 / 0.00; 2.18% / 1158946.60 / 755511.57; 1.87% / 0 / 346212.87; 5.17% / 6083416.42 / 5125439.96; 1.47% / 285115.12 / 12323.92; 19.05% / 9969705.78 / 6438604.16; 0.55% / 161384.68 / 262891.77; 0.02% / 0 / 3682.91; 6.01% / 2396586.01 / 1281852.89; 9.32% / 1736357.24 / 8293.34; 1.39% / 0 / 258417.26; 0.24% / 0 / 43568.67; 0.00% / 0 / 0.00; 1.35% / 16292.09 / 266003.87; 0.00% / 0 / 0.00; 0.00% / 0 / 675.28; 0.04% / 0 / 8303.63; 0.02% / 0 / 2903.67; 0.20% / 0 / 37970.74; 0.09% / 515229.19 / 497765.71; 1.28% / 414551.55 / 176956.59; 1.77% / 0 / 328735.78; 35.28% / 25958841.47 / 19420878.77; 0.62% / 0 / 115440.84; 2.11
Prefeitura Municipal de Cajobi - SP; 3509304; SP; 10287; 0.15% / 712089.18 / 733505.02; 7.73% / 1133944.29 / 3958.24; 0.02% / 0 / 2870.00; 11.36% / 1407072.75 / 3067034.58; 0.00% / 0 / 675.75; 0.09% / 33400.00 / 20536.26; 0.00% / 0 / 0.00; 0.74% / 890412.80 / 782422.53; 2.36% / 0 / 345305.20; 7.90% / 6312805.82 / 5158469.33; 0.14% / 0 / 21108.49; 10.02% / 8299161.09 / 6834671.71; 2.09% / 0 / 305734.77; 0.03% / 0 / 3682.91; 5.62% / 2021846.23 / 1200120.41; 0.08% / 0 / 11438.89; 9.09% / 1580384.31 / 252932.91; 0.18% / 0 / 26721.46; 0.00% / 0 / 0.00; 1.19% / 497446.83 / 323198.09; 0.00% / 0 / 0.00; 0.00% / 0 / 26.58; 0.11% / 0 / 15435.24; 0.03% / 0 / 4828.96; 0.49% / 0 / 71289.90; 1.81% / 859983.89 / 595468.19; 2.16% / 484353.15 / 169476.79; 3.37% / 878787.52 / 386058.30; 32.68% / 25111687.86 / 20336970.52; 0.55% / 0 / 79899.59; 1.82
Prefeitura Municipal de Trajano de Moraes - RJ; 3305901; RJ; 10348; 2.37% / 1856269.15 / 720539.55; 1.59% / 769129.41 / 3958.24; 0.01% / 0 / 2870.00; 8.15% / 7014205.63 / 3100105.64; 0.00% / 0 / 675.75; 1.93% / 946323.57 / 20536.26; 0.00% / 0 / 0.00; 1.36% / 1416778.30 / 762204.90; 6.08% / 3265164.91 / 345305.20; 7.61% / 8635987.33 / 4983704.68; 0.04% / 0 / 21108.49; 4.86% / 9244700.97 / 6908790.92; 0.10% / 341847.32 / 292180.79; 0.01% / 0 / 3682.91; 9.25% / 5634287.66 / 1194579.99; 0.10% / 62240.00 / 14715.43; 0.23% / 364563.43 / 253968.87; 0.52% / 279647.33 / 27958.96; 0.00% / 0 / 0.00; 0.13% / 183039.64 / 245984.19; 0.00% / 0 / 0.00; 0.00% / 0 / 0.00; 2.02% / 975993.34 / 7181.61; 0.01% / 0 / 4828.96; 0.15% / 0 / 71393.65; 1.73% / 1267508.47 / 439038.38; 0.69% / 476671.60 / 146548.71; 1.33% / 990373.40 / 352404.75; 49.57% / 43724731.46 / 19924266.84; 0.17% / 0 / 79899.59; 1.78
Prefeitura Municipal de Guaraciaba - SC; 4206405; SC; 10433; 1.16% / 862156.66 / 713719.99; 0.05% / 0 / 7056.70; 0.02% / 0 / 2870.00; 6.35% / 2296543.36 / 3111459.35; 0.47% / 61485.62 / 675.75; 1.87% / 250116.22 / 10365.29; 0.00% / 0 / 0.00; 0.87% / 895276.08 / 783254.86; 1.22% / 257991.66 / 414957.75; 5.42% / 5627930.46 / 4932292.57; 0.15% / 0 / 19382.47; 6.48% / 6095887.50 / 6927799.06; 0.49% / 196835.46 / 260127.14; 0.03% / 0 / 3682.91; 3.24% / 899897.95 / 1315475.04; 0.21% / 37183.53 / 9955.73; 1.14% / 118900.00 / 264921.57; 6.20% / 824129.96 / 28471.85; 0.00% / 0 / 0.00; 15.41% / 2199721.40 / 221495.06; 0.00% / 0 / 0.00; 1.35% / 180901.77 / 8113.17; 0.16% / 27566.25 / 7181.61; 0.03% / 0 / 4110.12; 0.93% / 190781.48 / 71393.65; 10.81% / 1751153.95 / 363436.60; 3.88% / 644886.06 / 147015.68; 0.58% / 427360.21 / 353322.42; 30.11% / 23846705.58 / 19982536.36; 1.36% / 0 / 174700.65; 1.59
Prefeitura Municipal de Santa Teresinha - BA; 2928505; BA; 10514; 0.85% / 660458.78 / 718518.40; 0.17% / 0 / 11385.34; 0.01% / 0 / 1030.00; 12.88% / 2218903.59 / 3103345.52; 0.01% / 0 / 675.75; 0.09% / 0 / 5971.11; 0.00% / 0 / 0.00; 3.32% / 474898.73 / 703301.33; 6.31% / 0 / 433694.02; 18.10% / 6035885.57 / 4792830.18; 0.28% / 0 / 19382.47; 3.82% / 6893268.66 / 6630934.85; 0.53% / 290804.68 / 254225.18; 0.03% / 0 / 1750.63; 9.07% / 731860.83 / 1355244.52; 12.57% / 871437.94 / 8075.01; 3.14% / 0 / 215571.98; 0.37% / 0 / 25270.50; 0.00% / 0 / 0.00; 0.93% / 340283.46 / 276335.28; 0.00% / 0 / 107.50; 0.15% / 0 / 10441.14; 0.18% / 0 / 12115.64; 0.07% / 0 / 4862.16; 0.82% / 0 / 56285.79; 4.72% / 32236.19 / 356786.46; 2.04% / 0 / 139948.96; 4.22% / 0 / 289963.14; 12.78% / 18550038.43 / 19428052.88; 2.54% / 0 / 174700.65; 1.88
Prefeitura Municipal de Francisco Badaró - MG; 3126505; MG; 10546; 0.48% / 745258.25 / 688025.19; 2.45% / 299267.46 / 7427.10; 0.01% / 0 / 1030.00; 10.62% / 1513840.09 / 2776190.35; 0.19% / 22919.81 / 0.00; 0.00% / 0 / 398.20; 0.00% / 0 / 0.00; 2.43% / 482753.46 / 771264.02; 3.22% / 0 / 382312.49; 1.42% / 4832103.91 / 4663076.54; 0.09% / 0 / 10573.40; 28.51% / 3381016.97 / 6771127.78; 0.18% / 264913.82 / 242960.30; 0.06% / 0 / 7164.01; 2.41% / 1236849.46 / 1523245.06; 0.56% / 77999.87 / 11786.77; 2.64% / 449075.76 / 135437.63; 0.20% / 121.00 / 23671.23; 0.36% / 42550.71 / 0.00; 0.98% / 137151.71 / 253398.79; 0.00% / 0 / 107.50; 0.09% / 0 / 10441.14; 0.18% / 0 / 21750.41; 0.09% / 14232.65 / 3162.86; 0.40% / 0 / 47659.56; 2.09% / 539679.79 / 290879.41; 0.15% / 87967.57 / 105219.14; 9.93% / 1495940.33 / 314823.07; 28.93% / 15623642.62 / 19063131.95; 1.32% / 0 / 157468.11; 1.66
Prefeitura Municipal de Recreio - MG; 3154101; MG; 10651; 1.06% / 832772.71 / 738949.29; 0.73% / 76031.47 / 11796.85; 0.01% / 0 / 1030.00; 16.11% / 3970020.37 / 2547328.11; 0.12% / 11010.36 / 0.00; 0.07% / 12644.88 / 6681.96; 0.00% / 0 / 0.00; 2.80% / 474208.74 / 721359.98; 2.71% / 0 / 239059.50; 0.06% / 4626496.83 / 4620845.45; 0.00% / 0 / 0.00; 40.00% / 3318945.00 / 6850951.14; 3.86% / 614875.48 / 273897.95; 0.08% / 0 / 7164.01; 10.13% / 2594614.02 / 1699680.21; 0.10% / 0 / 9201.88; 6.23% / 647190.57 / 97055.24; 1.94% / 208741.21 / 37073.35; 0.67% / 59173.00 / 0.00; 1.29% / 98543.01 / 212127.75; 0.00% / 0 / 107.50; 0.03% / 0 / 2327.97; 0.39% / 0 / 34249.01; 0.05% / 6362.25 / 1991.89; 0.34% / 0 / 29942.10; 1.96% / 724.00 / 173824.68; 0.14% / 103703.28 / 116393.57; 0.51% / 309204.51 / 264444.14; 8.29% / 17965261.69 / 18697483.53; 0.31% / 0 / 27703.29; 1.87
Prefeitura Municipal de Buriti do Tocantins - TO; 1703800; TO; 10681; 2.90% / 0 / 715141.67; 0.04% / 0 / 10593.20; 0.00% / 0 / 1030.00; 3.86% / 1711152.08 / 2664979.67; 0.00% / 0 / 0.00; 0.03% / 474.60 / 6681.96; 0.00% / 0 / 0.00; 2.99% / 0 / 739570.73; 0.00% / 145874.33 / 146478.16; 18.73% / 17683.70 / 4643037.13; 0.02% / 0 / 4416.58; 12.71% / 4357639.34 / 7495892.77; 1.03% / 0 / 255592.24; 0.03% / 0 / 7472.40; 4.80% / 489993.62 / 1674258.19; 0.04% / 0 / 9201.88; 0.38% / 0 / 93975.76; 2.01% / 531818.48 / 35659.54; 0.00% / 0 / 0.00; 0.21% / 142822.93 / 194734.58; 0.00% / 0 / 107.50; 0.00% / 0 / 25.00; 0.14% / 0 / 33607.23; 0.01% / 0 / 3092.17; 0.10% / 0 / 25746.46; 0.38% / 69017.97 / 162920.87; 0.26% / 63899.02 / 129068.32; 1.33% / 0 / 329607.37; 47.99% / 7530376.07 / 19382891.39; 0.00% / 0 / 0.00; 1.55
Prefeitura Municipal de Guaraci - SP; 3517901; SP; 10683; 0.64% / 1044928.11 / 715141.67; 0.02% / 0 / 10593.20; 0.00% / 0 / 1030.00; 4.74% / 5100793.62 / 2664979.67; 0.00% / 0 / 0.00; 0.04% / 29673.24 / 6681.96; 0.00% / 0 / 0.00; 0.95% / 1225832.04 / 739570.73; 4.62% / 2521537.46 / 146478.16; 7.43% / 8458250.16 / 4643037.13; 0.01% / 0 / 4416.58; 12.03% / 13676779.76 / 7495892.77; 0.47% / 16024.26 / 255592.24; 0.01% / 0 / 7472.40; 0.02% / 1683300.94 / 1674258.19; 10.06% / 5175585.37 / 9201.88; 2.47% / 1364768.94 / 93975.76; 0.07% / 172.10 / 35659.54; 0.00% / 0 / 0.00; 1.14% / 778312.35 / 194734.58; 0.00% / 0 / 107.50; 0.00% / 0 / 25.00; 1.79% / 955362.11 / 33607.23; 0.01% / 0 / 3092.17; 0.05% / 0 / 25746.46; 1.19% / 776162.89 / 162920.87; 0.17% / 218050.81 / 129068.32; 0.60% / 639476.94 / 329607.37; 47.27% / 43665011.10 / 19382891.39; 4.19% / 2152832.71 / 0.00; 2.19
Prefeitura Municipal de Bofete - SP; 3506904; SP; 10694; 3.64% / 0 / 740904.27; 0.05% / 0 / 10593.20; 0.00% / 0 / 0.00; 4.57% / 3600239.22 / 2669519.16; 0.00% / 0 / 0.00; 0.04% / 0 / 7385.94; 0.00% / 0 / 0.00; 1.62% / 1131336.23 / 800439.45; 0.98% / 0 / 199792.56; 10.15% / 6850763.95 / 4783388.19; 0.02% / 0 / 4693.64; 14.73% / 10608477.61 / 7606840.59; 0.66% / 144730.10 / 278513.09; 0.04% / 0 / 7472.40; 8.21% / 3446373.54 / 1773897.87; 0.05% / 0 / 10781.08; 0.29% / 0 / 59714.04; 0.16% / 4076.58 / 37583.57; 0.00% / 0 / 0.00; 0.39% / 300782.94 / 221935.79; 0.00% / 0 / 0.00; 0.01% / 0 / 1805.75; 0.15% / 0 / 29746.48; 0.02% / 0 / 3092.17; 0.24% / 0 / 48261.98; 0.82% / 0 / 167560.70; 7.59% / 1698545.37 / 152994.15; 2.75% / 877970.41 / 318325.61; 42.84% / 28663295.95 / 19935241.68; 0.00% / 0 / 400.00; 1.51
Prefeitura Municipal de Planalto - RS; 4314704; RS; 10707; 2.11% / 0 / 744039.05; 0.03% / 0 / 10593.20; 0.00% / 0 / 0.00; 50.00% / 20217683.42 / 2622779.36; 0.00% / 0 / 0.00; 0.02% / 0 / 7385.94; 0.00% / 0 / 0.00; 2.27% / 0 / 800486.54; 0.57% / 0 / 199792.56; 13.95% / 0 / 4910337.58; 0.01% / 0 / 4693.64; 21.75% / 0 / 7655297.29; 0.77% / 0 / 271398.47; 0.02% / 0 / 7472.40; 5.02% / 0 / 1766183.33; 0.03% / 0 / 10781.08; 0.14% / 0 / 50677.49; 0.11% / 0 / 37583.57; 0.00% / 0 / 0.00; 0.60% / 0 / 212535.85; 0.00% / 0 / 0.00; 0.01% / 0 / 1805.75; 0.10% / 0 / 36806.83; 0.01% / 0 / 3110.14; 0.14% / 0 / 48261.98; 0.53% / 0 / 185273.28; 0.40% / 0 / 141279.85; 1.04% / 0 / 367559.74; 0.35% / 20217683.42 / 20096134.90; 0.00% / 0 / 400.00; 2.64
Prefeitura Municipal de Amajari - RR; 1400027; RR; 10721; 1.37% / 350197.56 / 744039.05; 0.04% / 0 / 10593.20; 0.00% / 0 / 0.00; 4.44% / 3893749.68 / 2622779.36; 0.00% / 0 / 0.00; 0.03% / 0 / 7385.94; 0.00% / 0 / 0.00; 1.71% / 311907.02 / 800486.54; 0.70% / 0 / 199792.56; 17.13% / 3590.00 / 4910337.58; 0.02% / 0 / 4693.64; 24.50% / 636632.51 / 7655297.29; 0.92% / 7500.00 / 271398.47; 0.57% / 170941.08 / 7472.40; 0.92% / 1502778.73 / 1766183.33; 0.04% / 0 / 10781.08; 0.18% / 0 / 50677.49; 0.22% / 100667.00 / 37583.57; 0.00% / 0 / 0.00; 0.52% / 361075.50 / 212535.85; 0.00% / 0 / 0.00; 0.01% / 0 / 1805.75; 0.13% / 0 / 36806.83; 0.01% / 0 / 3110.14; 0.17% / 0 / 48261.98; 0.65% / 0 / 185273.28; 0.22% / 78009.20 / 141279.85; 1.28% / 0 / 367559.74; 44.25% / 7417048.28 / 20096134.90; 0.00% / 0 / 400.00; 1.80
Prefeitura Municipal de Capinzal do Norte - MA; 2102754; MA; 10725; 6.89% / 0 / 744461.47; 0.10% / 0 / 10593.20; 0.02% / 0 / 1906.20; 5.48% / 3281875.65 / 2689135.47; 0.00% / 0 / 0.00; 0.07% / 0 / 7385.94; 0.00% / 0 / 0.00; 4.78% / 273099.09 / 789680.70; 1.27% / 101071.24 / 238869.58; 7.81% / 5752658.37 / 4908250.96; 0.04% / 0 / 4693.64; 14.88% / 9445654.45 / 7837230.07; 1.85% / 453568.50 / 254112.41; 0.07% / 0 / 7472.40; 5.82% / 1125609.93 / 1754518.57; 14.13% / 1532798.83 / 5738.66; 1.51% / 229755.00 / 66480.93; 0.05% / 36500.00 / 41884.20; 0.00% / 0 / 0.00; 0.75% / 303696.27 / 222890.97; 0.00% / 0 / 0.00; 0.02% / 0 / 1805.75; 0.34% / 0 / 36806.83; 0.03% / 0 / 3110.14; 0.45% / 0 / 48261.98; 0.85% / 98519.75 / 190503.95; 3.59% / 538187.74 / 149758.17; 3.42% / 0 / 369978.54; 25.79% / 23172994.82 / 20385530.73; 0.00% / 0 / 400.00; 1.96
Prefeitura Municipal de São Luís do Paraitinga - SP; 3550001; SP; 10726; 0.88% / 888108.03 / 744461.47; 0.06% / 0 / 10593.20; 0.01% / 0 / 1906.20; 0.90% / 2836338.01 / 2689135.47; 0.00% / 0 / 0.00; 1.61% / 269953.30 / 7385.94; 0.00% / 0 / 0.00; 0.86% / 930621.33 / 789680.70; 1.11% / 419798.08 / 238869.58; 3.55% / 5488309.74 / 4908250.96; 0.03% / 0 / 4693.64; 22.35% / 11492254.26 / 7837230.07; 2.22% / 617708.87 / 254112.41; 0.05% / 0 / 7472.40; 5.74% / 2692771.79 / 1754518.57; 0.04% / 0 / 5738.66; 0.41% / 0 / 66480.93; 0.26% / 0 / 41884.20; 0.00% / 0 / 0.00; 0.26% / 265028.31 / 222890.97; 0.00% / 0 / 0.00; 0.01% / 0 / 1805.75; 3.67% / 637408.91 / 36806.83; 0.02% / 0 / 3110.14; 0.30% / 0 / 48261.98; 6.86% / 1312115.46 / 190503.95; 0.26% / 107256.81 / 149758.17; 1.93% / 55106.63 / 369978.54; 46.64% / 28012779.53 / 20385530.73; 0.00% / 0 / 400.00; 1.51
Prefeitura Municipal de Bananal - SP; 3504909; SP; 10728; 7.04% / 0 / 744461.47; 0.10% / 0 / 10593.20; 3.49% / 371555.38 / 1906.20; 3.01% / 3007574.37 / 2689135.47; 0.00% / 0 / 0.00; 0.07% / 0 / 7385.94; 0.00% / 0 / 0.00; 2.97% / 475014.20 / 789680.70; 2.26% / 0 / 238869.58; 24.01% / 7448531.50 / 4908250.96; 0.04% / 0 / 4693.64; 12.06% / 9113547.15 / 7837230.07; 1.69% / 433349.73 / 254112.41; 0.07% / 0 / 7472.40; 4.10% / 1321090.95 / 1754518.57; 0.05% / 0 / 5738.66; 0.63% / 0 / 66480.93; 1.48% / 198875.00 / 41884.20; 0.00% / 0 / 0.00; 4.24% / 671176.15 / 222890.97; 0.00% / 0 / 0.00; 0.02% / 0 / 1805.75; 0.35% / 0 / 36806.83; 0.03% / 0 / 3110.14; 0.46% / 0 / 48261.98; 1.60% / 21566.76 / 190503.95; 0.13% / 136288.44 / 149758.17; 3.50% / 0 / 369978.54; 26.59% / 23198569.63 / 20385530.73; 0.00% / 0 / 400.00; 1.57
