##Instituição; Cod.IBGE; UF; População; Top 1 CATEGORY; Top 1 %; Top 1 VALUE; Top 1 CENTROID; Top 1 DIFF ; Top 2 CATEGORY; Top 2 %; Top 2 VALUE; Top 2 CENTROID; Top 2 DIFF ; Top 3 CATEGORY; Top 3 %; Top 3 VALUE; Top 3 CENTROID; Top 3 DIFF ; Top 4 CATEGORY; Top 4 %; Top 4 VALUE; Top 4 CENTROID; Top 4 DIFF ; Top 5 CATEGORY; Top 5 %; Top 5 VALUE; Top 5 CENTROID; Top 5 DIFF ; lof_relativo_med
Prefeitura Municipal de Guaraciaba - SC;  4206405;  SC;  10433; Despesas (Exceto Intraorçamentárias); 30.11%; 23846705.58; 19982536.36; 3864169.22; Agricultura; 15.41%; 2199721.40; 221495.06; 1978226.34; Transporte; 10.81%; 1751153.95; 363436.60; 1387717.35; Educação; 06.48%; 6095887.50; 6927799.06; -831911.56; Administração; 06.35%; 2296543.36; 3111459.35; -814915.99;  1.59
Prefeitura Municipal de Santa Teresinha - BA;  2928505;  BA;  10514; Saúde; 18.10%; 6035885.57; 4792830.18; 1243055.39; Administração; 12.88%; 2218903.59; 3103345.52; -884441.93; Despesas (Exceto Intraorçamentárias); 12.78%; 18550038.43; 19428052.88; -878014.45; Habitação; 12.57%; 871437.94; 8075.01; 863362.93; Urbanismo; 09.07%; 731860.83; 1355244.52; -623383.69;  1.88
Prefeitura Municipal de Francisco Badaró - MG;  3126505;  MG;  10546; Despesas (Exceto Intraorçamentárias); 28.93%; 15623642.62; 19063131.95; -3439489.33; Educação; 28.51%; 3381016.97; 6771127.78; -3390110.81; Administração; 10.62%; 1513840.09; 2776190.35; -1262350.26; Encargos Especiais; 09.93%; 1495940.33; 314823.07; 1181117.26; Previdência Social; 03.22%; 0; 382312.49; -382312.49;  1.66
Prefeitura Municipal de Recreio - MG;  3154101;  MG;  10651; Educação; 40.00%; 3318945.00; 6850951.14; -3532006.14; Administração; 16.11%; 3970020.37; 2547328.11; 1422692.26; Urbanismo; 10.13%; 2594614.02; 1699680.21; 894933.81; Despesas (Exceto Intraorçamentárias); 08.29%; 17965261.69; 18697483.53; -732221.84; Saneamento; 06.23%; 647190.57; 97055.24; 550135.33;  1.87
Prefeitura Municipal de Buriti do Tocantins - TO;  1703800;  TO;  10681; Despesas (Exceto Intraorçamentárias); 47.99%; 7530376.07; 19382891.39; -11852515.32; Saúde; 18.73%; 17683.70; 4643037.13; -4625353.43; Educação; 12.71%; 4357639.34; 7495892.77; -3138253.43; Urbanismo; 04.80%; 489993.62; 1674258.19; -1184264.57; Administração; 03.86%; 1711152.08; 2664979.67; -953827.59;  1.55
Prefeitura Municipal de Guaraci - SP;  3517901;  SP;  10683; Despesas (Exceto Intraorçamentárias); 47.27%; 43665011.10; 19382891.39; 24282119.71; Educação; 12.03%; 13676779.76; 7495892.77; 6180886.99; Habitação; 10.06%; 5175585.37; 9201.88; 5166383.49; Saúde; 07.43%; 8458250.16; 4643037.13; 3815213.03; Administração; 04.74%; 5100793.62; 2664979.67; 2435813.95;  2.19
Prefeitura Municipal de Bofete - SP;  3506904;  SP;  10694; Despesas (Exceto Intraorçamentárias); 42.84%; 28663295.95; 19935241.68; 8728054.27; Educação; 14.73%; 10608477.61; 7606840.59; 3001637.02; Saúde; 10.15%; 6850763.95; 4783388.19; 2067375.76; Urbanismo; 08.21%; 3446373.54; 1773897.87; 1672475.67; Desporto e Lazer; 07.59%; 1698545.37; 152994.15; 1545551.22;  1.51
Prefeitura Municipal de Planalto - RS;  4314704;  RS;  10707; Administração; 50.00%; 20217683.42; 2622779.36; 17594904.06; Educação; 21.75%; 0; 7655297.29; -7655297.29; Saúde; 13.95%; 0; 4910337.58; -4910337.58; Urbanismo; 05.02%; 0; 1766183.33; -1766183.33; Assistência Social; 02.27%; 0; 800486.54; -800486.54;  2.64
Prefeitura Municipal de Amajari - RR;  1400027;  RR;  10721; Despesas (Exceto Intraorçamentárias); 44.25%; 7417048.28; 20096134.90; -12679086.62; Educação; 24.50%; 636632.51; 7655297.29; -7018664.78; Saúde; 17.13%; 3590.00; 4910337.58; -4906747.58; Administração; 04.44%; 3893749.68; 2622779.36; 1270970.32; Assistência Social; 01.71%; 311907.02; 800486.54; -488579.52;  1.80
Prefeitura Municipal de Capinzal do Norte - MA;  2102754;  MA;  10725; Despesas (Exceto Intraorçamentárias); 25.79%; 23172994.82; 20385530.73; 2787464.09; Educação; 14.88%; 9445654.45; 7837230.07; 1608424.38; Habitação; 14.13%; 1532798.83; 5738.66; 1527060.17; Saúde; 07.81%; 5752658.37; 4908250.96; 844407.41; Legislativa; 06.89%; 0; 744461.47; -744461.47;  1.96
Prefeitura Municipal de São Luís do Paraitinga - SP;  3550001;  SP;  10726; Despesas (Exceto Intraorçamentárias); 46.64%; 28012779.53; 20385530.73; 7627248.80; Educação; 22.35%; 11492254.26; 7837230.07; 3655024.19; Transporte; 06.86%; 1312115.46; 190503.95; 1121611.51; Urbanismo; 05.74%; 2692771.79; 1754518.57; 938253.22; Comércio e Serviços; 03.67%; 637408.91; 36806.83; 600602.08;  1.51
Prefeitura Municipal de Bananal - SP;  3504909;  SP;  10728; Despesas (Exceto Intraorçamentárias); 26.59%; 23198569.63; 20385530.73; 2813038.90; Saúde; 24.01%; 7448531.50; 4908250.96; 2540280.54; Educação; 12.06%; 9113547.15; 7837230.07; 1276317.08; Legislativa; 07.04%; 0; 744461.47; -744461.47; Agricultura; 04.24%; 671176.15; 222890.97; 448285.18;  1.57
Prefeitura Municipal de Porto Xavier - RS;  4315107;  RS;  10779; Educação; 17.96%; 5554690.38; 7533575.46; -1978885.08; Despesas (Intraorçamentárias); 14.07%; 1574123.24; 23816.06; 1550307.18; Urbanismo; 11.91%; 155297.73; 1468030.19; -1312732.46; Previdência Social; 10.79%; 1531998.28; 343066.22; 1188932.06; Despesas (Exceto Intraorçamentárias); 07.45%; 20948833.10; 20127899.74; 820933.36;  1.53
Prefeitura Municipal de Arraias - TO;  1702406;  TO;  10805; Despesas (Exceto Intraorçamentárias); 33.68%; 17154431.77; 21411575.06; -4257143.29; Educação; 17.54%; 5623432.75; 7839896.40; -2216463.65; Saúde; 15.68%; 3350403.67; 5332159.79; -1981756.12; Transporte; 09.72%; 1533139.26; 305012.41; 1228126.85; Administração; 07.59%; 2136998.82; 3096445.96; -959447.14;  1.71
Prefeitura Municipal de São Bento do Sapucaí - SP;  3548609;  SP;  10848; Despesas (Exceto Intraorçamentárias); 30.15%; 24462464.41; 21420306.40; 3042158.01; Comércio e Serviços; 21.47%; 2176883.50; 10689.57; 2166193.93; Urbanismo; 10.92%; 2837160.08; 1735216.66; 1101943.42; Legislativa; 06.09%; 0; 614263.20; -614263.20; Administração; 05.94%; 3706211.42; 3106631.77; 599579.65;  1.68
Prefeitura Municipal de São Carlos - SC;  4216008;  SC;  10849; Despesas (Exceto Intraorçamentárias); 31.16%; 28206954.66; 21420306.40; 6786648.26; Transporte; 18.10%; 4226794.14; 284540.66; 3942253.48; Educação; 08.01%; 6055168.95; 7799696.34; -1744527.39; Encargos Especiais; 07.11%; 1884477.92; 337212.27; 1547265.65; Comércio e Serviços; 05.54%; 1218153.65; 10689.57; 1207464.08;  1.72
Prefeitura Municipal de Ministro Andreazza - RO;  1101203;  RO;  10860; Administração; 29.11%; 6349006.47; 3106631.77; 3242374.70; Urbanismo; 15.58%; 0; 1735216.66; -1735216.66; Despesas (Exceto Intraorçamentárias); 13.98%; 22978101.65; 21420306.40; 1557795.25; Agricultura; 10.34%; 1388183.80; 236113.55; 1152070.25; Saúde; 06.61%; 4587276.89; 5324102.59; -736825.70;  1.64
Prefeitura Municipal de Dois Irmãos do Buriti - MS;  5003488;  MS;  10880; Saúde; 28.42%; 0; 5288784.51; -5288784.51; Despesas (Exceto Intraorçamentárias); 23.65%; 16629238.87; 21030588.35; -4401349.48; Educação; 13.30%; 5009162.78; 7484062.06; -2474899.28; Administração; 12.15%; 5415195.49; 3152968.37; 2262227.12; Direitos da Cidadania; 04.66%; 868162.12; 0.00; 868162.12;  3.23
Prefeitura Municipal de Fontoura Xavier - RS;  4308300;  RS;  10916; Encargos Especiais; 16.49%; 1519157.11; 268261.71; 1250895.40; Agricultura; 12.75%; 1190072.23; 222833.39; 967238.84; Saúde; 09.41%; 4574672.16; 5288784.51; -714112.35; Legislativa; 08.11%; 0; 615188.36; -615188.36; Educação; 07.97%; 6879229.08; 7484062.06; -604832.98;  1.58
Prefeitura Municipal de Redentora - RS;  4315404;  RS;  10938; Educação; 20.65%; 5358715.88; 7525242.04; -2166526.16; Urbanismo; 13.42%; 361206.58; 1768641.40; -1407434.82; Transporte; 10.56%; 1329405.76; 221380.93; 1108024.83; Agricultura; 08.68%; 1139675.41; 229226.42; 910448.99; Despesas (Exceto Intraorçamentárias); 07.50%; 19937459.75; 20724394.71; -786934.96;  1.60
Prefeitura Municipal de São José do Calçado - ES;  3204807;  ES;  11000; Despesas (Exceto Intraorçamentárias); 41.99%; 31094982.99; 21145846.76; 9949136.23; Encargos Especiais; 15.00%; 3795578.96; 241155.72; 3554423.24; Urbanismo; 09.64%; 4154674.56; 1869482.70; 2285191.86; Agricultura; 08.04%; 2273926.81; 367779.86; 1906146.95; Saúde; 06.99%; 6799400.89; 5142397.80; 1657003.09;  1.58
Prefeitura Municipal de Benedito Novo - SC;  4202206;  SC;  11037; Educação; 23.85%; 4956571.66; 6932825.31; -1976253.65; Urbanismo; 17.43%; 3236070.15; 1791523.21; 1444546.94; Administração; 08.35%; 2102787.69; 2794732.63; -691944.94; Agricultura; 07.86%; 1028540.37; 376761.26; 651779.11; Desporto e Lazer; 06.59%; 742629.34; 196078.76; 546550.58;  1.51
Prefeitura Municipal de Caetanópolis - MG;  3109907;  MG;  11046; Despesas (Exceto Intraorçamentárias); 29.23%; 17199831.55; 20588781.29; -3388949.74; Educação; 21.97%; 4385965.64; 6932825.31; -2546859.67; Administração; 10.88%; 1533430.92; 2794732.63; -1261301.71; Encargos Especiais; 10.09%; 1459871.79; 290436.23; 1169435.56; Previdência Social; 05.56%; 0; 644151.54; -644151.54;  1.62
Prefeitura Municipal de Santana do Mundaú - AL;  2708105;  AL;  11070; Assistência Social; 20.38%; 4925524.12; 853562.74; 4071961.38; Educação; 18.96%; 3170493.37; 6958693.54; -3788200.17; Administração; 17.53%; 6196305.51; 2692480.32; 3503825.19; Despesas (Exceto Intraorçamentárias); 14.45%; 23303982.16; 20416599.53; 2887382.63; Previdência Social; 10.89%; 2784049.87; 607320.51; 2176729.36;  2.10
Prefeitura Municipal de Duas Barras - RJ;  3301603;  RJ;  11096; Despesas (Exceto Intraorçamentárias); 49.03%; 41416562.09; 20047253.59; 21369308.50; Saúde; 13.97%; 10986547.29; 4897943.60; 6088603.69; Previdência Social; 08.68%; 4272117.16; 487253.61; 3784863.55; Administração; 05.50%; 5043172.52; 2646070.46; 2397102.06; Educação; 05.44%; 9381221.59; 7010847.99; 2370373.60;  1.56
Prefeitura Municipal de Brotas de Macaúbas - BA;  2904506;  BA;  11158; Despesas (Exceto Intraorçamentárias); 28.82%; 23808149.69; 20054592.62; 3753557.07; Administração; 20.52%; 5245636.71; 2573505.21; 2672131.50; Educação; 20.26%; 9487629.44; 6849091.34; 2638538.10; Urbanismo; 08.23%; 855452.52; 1927059.58; -1071607.06; Previdência Social; 03.42%; 0; 445020.69; -445020.69;  1.88
Prefeitura Municipal de Paraúna - GO;  5216403;  GO;  11187; Despesas (Exceto Intraorçamentárias); 48.25%; 41951120.01; 20746134.25; 21204985.76; Administração; 10.83%; 7508411.27; 2747059.02; 4761352.25; Educação; 09.30%; 11192956.75; 7107490.90; 4085465.85; Saúde; 07.87%; 8447375.58; 4987064.18; 3460311.40; Encargos Especiais; 06.21%; 3011378.72; 284059.08; 2727319.64;  2.05
Prefeitura Municipal de Peixe - TO;  1716604;  TO;  11209; Despesas (Exceto Intraorçamentárias); 46.02%; 32953792.56; 20861030.66; 12092761.90; Educação; 10.78%; 9893981.97; 7060801.67; 2833180.30; Saúde; 08.15%; 7217409.09; 5075099.21; 2142309.88; Urbanismo; 05.79%; 3535577.22; 2012925.78; 1522651.44; Administração; 04.92%; 4070873.71; 2778742.51; 1292131.20;  2.16
Prefeitura Municipal de Presidente Kennedy - ES;  3204302;  ES;  11221; Despesas (Exceto Intraorçamentárias); 48.63%; 95868010.99; 21127004.86; 74741006.13; Administração; 25.66%; 42159049.65; 2717764.55; 39441285.10; Educação; 12.17%; 26123637.00; 7414754.56; 18708882.44; Saúde; 05.33%; 13397629.63; 5199176.62; 8198453.01; Desporto e Lazer; 02.19%; 3517360.47; 155417.76; 3361942.71;  2.27
Prefeitura Municipal de Primeiro de Maio - PR;  4120507;  PR;  11222; Educação; 16.34%; 5463959.18; 7414754.56; -1950795.38; Previdência Social; 14.77%; 2093903.65; 330460.89; 1763442.76; Despesas (Exceto Intraorçamentárias); 13.78%; 22771708.26; 21127004.86; 1644703.40; Trabalho; 07.91%; 954473.71; 10011.65; 944462.06; Legislativa; 06.21%; 0; 741063.73; -741063.73;  2.48
Prefeitura Municipal de Balneário Arroio do Silva - SC;  4201950;  SC;  11248; Urbanismo; 33.87%; 6599855.19; 1851307.83; 4748547.36; Despesas (Exceto Intraorçamentárias); 17.60%; 23284813.81; 20816594.81; 2468219.00; Comércio e Serviços; 08.63%; 1229455.33; 19785.86; 1209669.47; Saúde; 08.18%; 3864773.62; 5011392.58; -1146618.96; Educação; 07.13%; 6387636.79; 7387714.94; -1000078.15;  1.61
Prefeitura Municipal de Godofredo Viana - MA;  2104305;  MA;  11262; Despesas (Exceto Intraorçamentárias); 35.85%; 28016862.44; 21246424.77; 6770437.67; Urbanismo; 16.53%; 4974222.85; 1852783.80; 3121439.05; Educação; 14.26%; 10145116.26; 7451056.29; 2694059.97; Administração; 06.84%; 4540359.48; 3248419.96; 1291939.52; Legislativa; 04.30%; 0; 811950.34; -811950.34;  1.54
Prefeitura Municipal de Itabirinha - MG;  3131802;  MG;  11297; Despesas (Exceto Intraorçamentárias); 24.36%; 18294430.17; 21516958.49; -3222528.32; Educação; 16.28%; 5221702.68; 7375475.34; -2153772.66; Administração; 15.21%; 1359061.80; 3370955.95; -2011894.15; Saúde; 10.71%; 3656276.23; 5072492.63; -1416216.40; Legislativa; 06.20%; 0; 819720.01; -819720.01;  1.71
Prefeitura Municipal de Estiva - MG;  3124500;  MG;  11329; Despesas (Exceto Intraorçamentárias); 38.10%; 16362089.50; 21080589.97; -4718500.47; Educação; 19.48%; 5059417.44; 7471564.55; -2412147.11; Urbanismo; 12.55%; 112089.96; 1666401.05; -1554311.09; Administração; 06.70%; 4139636.66; 3310026.26; 829610.40; Saúde; 04.52%; 4377149.52; 4937082.54; -559933.02;  2.21
Prefeitura Municipal de Itainópolis - PI;  2205003;  PI;  11330; Despesas (Exceto Intraorçamentárias); 32.54%; 17997632.40; 21080589.97; -3082957.57; Urbanismo; 14.32%; 309141.29; 1666401.05; -1357259.76; Saúde; 06.29%; 4340643.07; 4937082.54; -596439.47; Transporte; 06.22%; 225.00; 589463.59; -589238.59; Administração; 05.96%; 2745368.81; 3310026.26; -564657.45;  1.64
Prefeitura Municipal de Centenário do Sul - PR;  4105102;  PR;  11346; Educação; 25.58%; 4764669.78; 7386340.42; -2621670.64; Despesas (Exceto Intraorçamentárias); 17.67%; 19399772.53; 21211014.13; -1811241.60; Urbanismo; 11.18%; 2907764.15; 1761592.35; 1146171.80; Legislativa; 07.71%; 0; 790179.72; -790179.72; Administração; 07.10%; 4009259.52; 3281231.21; 728028.31;  1.62
Prefeitura Municipal de Ouro Branco - AL;  2706109;  AL;  11484; Despesas (Intraorçamentárias); 21.57%; 1440373.86; 0.00; 1440373.86; Educação; 16.84%; 8826580.58; 7701806.81; 1124773.77; Urbanismo; 09.04%; 2468988.80; 1865221.41; 603767.39; Administração; 07.51%; 3515697.66; 3013993.58; 501704.08; Previdência Social; 07.21%; 0; 481671.80; -481671.80;  1.52
Prefeitura Municipal de Guaiçara - SP;  3517208;  SP;  11511; Despesas (Exceto Intraorçamentárias); 40.55%; 25505148.51; 21022592.85; 4482555.66; Urbanismo; 14.18%; 3471893.17; 1904849.51; 1567043.66; Saneamento; 10.24%; 1278565.55; 146780.15; 1131785.40; Desporto e Lazer; 07.21%; 927507.21; 131002.91; 796504.30; Administração; 04.62%; 3214766.50; 2703852.77; 510913.73;  1.58
Prefeitura Municipal de Vale do Sol - RS;  4322533;  RS;  11608; Administração; 19.84%; 4836149.02; 2792867.27; 2043281.75; Urbanismo; 16.54%; 1382.70; 1704976.04; -1703593.34; Educação; 14.60%; 5823193.50; 7326451.25; -1503257.75; Despesas (Intraorçamentárias); 13.72%; 1412815.17; 0.00; 1412815.17; Encargos Especiais; 07.41%; 1120941.52; 357801.79; 763139.73;  1.50
Prefeitura Municipal de Xambioá - TO;  1722107;  TO;  11722; Educação; 16.30%; 5898324.82; 7915487.35; -2017162.53; Despesas (Exceto Intraorçamentárias); 13.53%; 22935536.07; 21261506.50; 1674029.57; Comércio e Serviços; 12.81%; 1644635.90; 59988.22; 1584647.68; Transporte; 11.65%; 1801741.51; 360275.84; 1441465.67; Urbanismo; 09.42%; 350964.84; 1516709.80; -1165744.96;  1.71
Prefeitura Municipal de Loreto - MA;  2106102;  MA;  11795; Transporte; 25.01%; 3730640.92; 382174.01; 3348466.91; Administração; 16.28%; 740158.92; 2919881.61; -2179722.69; Despesas (Exceto Intraorçamentárias); 10.67%; 22648853.11; 21221128.11; 1427725.00; Urbanismo; 09.21%; 239329.78; 1471900.02; -1232570.24; Educação; 08.95%; 9192556.06; 7994424.27; 1198131.79;  2.53
Prefeitura Municipal de Bom Jesus - RS;  4302303;  RS;  11809; Despesas (Exceto Intraorçamentárias); 34.51%; 26901512.11; 21221128.11; 5680384.00; Administração; 31.17%; 8050797.45; 2919881.61; 5130915.84; Encargos Especiais; 07.92%; 1583698.84; 280426.22; 1303272.62; Assistência Social; 04.22%; 224917.84; 919354.70; -694436.86; Urbanismo; 03.59%; 880807.03; 1471900.02; -591092.99;  1.61
Prefeitura Municipal de Balneário Rincão - SC;  4220000;  SC;  11824; Saneamento; 30.26%; 5817434.55; 112170.40; 5705264.15; Despesas (Exceto Intraorçamentárias); 27.12%; 26334958.36; 21221128.11; 5113830.25; Educação; 15.53%; 5066506.34; 7994424.27; -2927917.93; Transporte; 12.99%; 2830889.54; 382174.01; 2448715.53; Urbanismo; 03.40%; 2113288.68; 1471900.02; 641388.66;  1.74
Prefeitura Municipal de Montividiu - GO;  5213756;  GO;  11858; Despesas (Exceto Intraorçamentárias); 48.73%; 45510252.63; 21142930.69; 24367321.94; Educação; 12.70%; 14131961.60; 7780218.98; 6351742.62; Urbanismo; 10.95%; 6916978.60; 1441013.30; 5475965.30; Saúde; 07.26%; 9025930.04; 5396388.22; 3629541.82; Administração; 06.49%; 6089023.30; 2842374.75; 3246648.55;  1.56
Prefeitura Municipal de Areal - RJ;  3300225;  RJ;  11879; Despesas (Exceto Intraorçamentárias); 41.04%; 39702550.38; 21142930.69; 18559619.69; Administração; 18.12%; 11037593.30; 2842374.75; 8195218.55; Saúde; 08.95%; 9442059.10; 5396388.22; 4045670.88; Despesas (Intraorçamentárias); 06.74%; 3048469.58; 0.00; 3048469.58; Previdência Social; 06.69%; 3421273.22; 395141.08; 3026132.14;  1.64
Prefeitura Municipal de Senador José Porfírio - PA;  1507805;  PA;  12075; Educação; 37.66%; 14669616.14; 8168945.77; 6500670.37; Despesas (Exceto Intraorçamentárias); 36.82%; 29600262.99; 23244091.84; 6356171.15; Legislativa; 04.50%; 0; 776375.25; -776375.25; Gestão Ambiental; 03.92%; 708587.30; 31108.26; 677479.04; Transporte; 03.63%; 0; 626423.81; -626423.81;  1.51
Prefeitura Municipal de Cruzeiro do Sul - RS;  4306205;  RS;  12122; Despesas (Exceto Intraorçamentárias); 27.77%; 28282318.73; 23396032.21; 4886286.52; Indústria; 12.48%; 2199527.86; 3972.48; 2195555.38; Saúde; 09.92%; 7270391.84; 5524125.77; 1746266.07; Administração; 08.88%; 4950176.58; 3387588.61; 1562587.97; Agricultura; 06.76%; 1556391.12; 366498.42; 1189892.70;  2.04
Prefeitura Municipal de Querência do Norte - PR;  4121000;  PR;  12210; Despesas (Intraorçamentárias); 17.49%; 2218834.32; 169231.60; 2049602.72; Educação; 12.79%; 6507364.03; 8006114.84; -1498750.81; Administração; 10.53%; 2252534.25; 3485942.07; -1233407.82; Transporte; 10.29%; 1802385.21; 596555.59; 1205829.62; Despesas (Exceto Intraorçamentárias); 10.00%; 21780852.64; 22952266.79; -1171414.15;  2.02
Prefeitura Municipal de Antônio Cardoso - BA;  2901700;  BA;  12216; Despesas (Exceto Intraorçamentárias); 28.47%; 20039175.98; 22970400.24; -2931224.26; Urbanismo; 14.61%; 318251.63; 1822489.65; -1504238.02; Legislativa; 13.14%; 2119270.61; 766280.98; 1352989.63; Saúde; 13.13%; 4146002.76; 5497775.98; -1351773.22; Previdência Social; 06.24%; 0; 642582.23; -642582.23;  1.59
Prefeitura Municipal de Nonoai - RS;  4312708;  RS;  12321; Despesas (Exceto Intraorçamentárias); 34.34%; 29252213.06; 23488575.33; 5763637.73; Encargos Especiais; 13.22%; 2564953.38; 345837.61; 2219115.77; Urbanismo; 10.39%; 228369.10; 1971845.11; -1743476.01; Previdência Social; 08.91%; 2047089.99; 550969.69; 1496120.30; Trabalho; 08.46%; 1419789.64; 0.00; 1419789.64;  2.00
Prefeitura Municipal de Araças - BA;  2902054;  BA;  12402; Despesas (Exceto Intraorçamentárias); 44.94%; 38561161.67; 21895677.62; 16665484.05; Educação; 15.81%; 13555206.22; 7691329.65; 5863876.57; Administração; 10.27%; 6896552.95; 3089675.81; 3806877.14; Transporte; 09.38%; 3851957.65; 373432.37; 3478525.28; Urbanismo; 04.11%; 3320959.34; 1797635.97; 1523323.37;  1.53
Prefeitura Municipal de Mar de Espanha - MG;  3139805;  MG;  12480; Administração; 38.11%; 17401853.08; 3243794.11; 14158058.97; Educação; 21.87%; 0; 8124015.61; -8124015.61; Saúde; 13.76%; 0; 5112667.16; -5112667.16; Despesas (Exceto Intraorçamentárias); 11.79%; 17401853.08; 21782156.62; -4380303.54; Urbanismo; 04.60%; 0; 1709536.35; -1709536.35;  2.42
Prefeitura Municipal de Santa Mariana - PR;  4123907;  PR;  12496; Saúde; 21.74%; 8175794.34; 4991133.91; 3184660.43; Urbanismo; 21.02%; 4659994.09; 1580800.71; 3079193.38; Educação; 18.31%; 5532468.80; 8214561.99; -2682093.19; Despesas (Exceto Intraorçamentárias); 15.76%; 23742826.70; 21434393.16; 2308433.54; Legislativa; 05.08%; 0; 743492.56; -743492.56;  1.76
Prefeitura Municipal de Cananéia - SP;  3509908;  SP;  12601; Despesas (Exceto Intraorçamentárias); 48.25%; 38950554.59; 22093028.80; 16857525.79; Urbanismo; 17.34%; 7747500.54; 1689428.21; 6058072.33; Saúde; 12.01%; 9415447.14; 5218057.67; 4197389.47; Comércio e Serviços; 03.81%; 1354172.50; 23992.15; 1330180.35; Gestão Ambiental; 03.69%; 1356271.75; 65943.39; 1290328.36;  1.70
Prefeitura Municipal de Joanópolis - SP;  3525508;  SP;  12610; Despesas (Exceto Intraorçamentárias); 38.32%; 28659301.76; 22093028.80; 6566272.96; Saúde; 11.28%; 7150170.74; 5218057.67; 1932113.07; Educação; 11.08%; 10363147.45; 8464642.45; 1898505.00; Comércio e Serviços; 10.03%; 1742598.62; 23992.15; 1718606.47; Transporte; 09.67%; 1975800.12; 318629.69; 1657170.43;  1.51
Prefeitura Municipal de Mineiros do Tietê - SP;  3529807;  SP;  12642; Despesas (Exceto Intraorçamentárias); 44.69%; 32194999.58; 22093028.80; 10101970.78; Habitação; 23.47%; 5318808.47; 15000.00; 5303808.47; Saúde; 08.12%; 7052372.43; 5218057.67; 1834314.76; Assistência Social; 05.30%; 2049498.73; 851900.37; 1197598.36; Urbanismo; 04.90%; 2797072.82; 1689428.21; 1107644.61;  2.18
Prefeitura Municipal de Mostardas - RS;  4312500;  RS;  12679; Despesas (Exceto Intraorçamentárias); 32.24%; 29216668.69; 22117663.38; 7099005.31; Encargos Especiais; 17.90%; 4231699.60; 289442.24; 3942257.36; Despesas (Intraorçamentárias); 10.42%; 2293686.74; 0.00; 2293686.74; Saúde; 08.18%; 6917856.08; 5117337.95; 1800518.13; Administração; 07.03%; 4842311.69; 3294692.35; 1547619.34;  1.59
Prefeitura Municipal de Maurilândia - GO;  5213004;  GO;  12737; Educação; 17.29%; 6673277.36; 8589541.36; -1916264.00; Urbanismo; 16.79%; 0; 1861425.99; -1861425.99; Administração; 14.44%; 4928460.11; 3328192.40; 1600267.71; Habitação; 10.06%; 1129875.23; 15000.00; 1114875.23; Previdência Social; 07.44%; 1138440.98; 313972.39; 824468.59;  1.73
Prefeitura Municipal de Juruá - AM;  1302207;  AM;  12807; Despesas (Exceto Intraorçamentárias); 47.15%; 41386811.98; 23269842.49; 18116969.49; Urbanismo; 31.51%; 14056787.36; 1948595.64; 12108191.72; Educação; 08.31%; 11840501.10; 8647413.62; 3193087.48; Agricultura; 03.89%; 1694357.18; 200896.14; 1493461.04; Desporto e Lazer; 02.58%; 1157289.31; 165091.83; 992197.48;  1.57
Prefeitura Municipal de Lagoa Grande do Maranhão - MA;  2105963;  MA;  12822; Despesas (Exceto Intraorçamentárias); 26.04%; 20289052.26; 23269842.49; -2980790.23; Saúde; 17.45%; 3538203.92; 5535064.88; -1996860.96; Administração; 13.60%; 1733358.29; 3289602.69; -1556244.40; Educação; 10.53%; 9852973.06; 8647413.62; 1205559.44; Comunicações; 09.00%; 1033224.33; 3368.52; 1029855.81;  2.97
Prefeitura Municipal de Mato Verde - MG;  3141009;  MG;  12921; Despesas (Exceto Intraorçamentárias); 34.92%; 17882500.26; 23944230.66; -6061730.40; Educação; 23.11%; 4373261.91; 8384455.76; -4011193.85; Administração; 09.40%; 1576905.94; 3207649.69; -1630743.75; Encargos Especiais; 09.24%; 1985525.61; 381495.97; 1604029.64; Saúde; 05.88%; 5009839.50; 6030518.32; -1020678.82;  1.57
Prefeitura Municipal de Uarini - AM;  1304260;  AM;  12963; Educação; 45.11%; 19032044.50; 8501670.49; 10530374.01; Despesas (Exceto Intraorçamentárias); 30.11%; 31140801.46; 24112104.69; 7028696.77; Saúde; 09.28%; 3989298.26; 6155617.20; -2166318.94; Urbanismo; 02.46%; 1417907.56; 1991353.84; -573446.28; Previdência Social; 02.25%; 0; 524855.34; -524855.34;  2.91
Prefeitura Municipal de Pinheiro Machado - RS;  4314506;  RS;  13011; Despesas (Exceto Intraorçamentárias); 36.87%; 34616105.02; 24253821.89; 10362283.13; Administração; 21.45%; 9133830.98; 3104497.50; 6029333.48; Previdência Social; 14.10%; 4516843.98; 554533.17; 3962310.81; Urbanismo; 06.15%; 221248.23; 1948594.67; -1727346.44; Trabalho; 03.93%; 1105463.25; 192.00; 1105271.25;  1.78
Prefeitura Municipal de Holambra - SP;  3519055;  SP;  13046; Despesas (Exceto Intraorçamentárias); 49.73%; 53298128.86; 23834302.55; 29463826.31; Educação; 15.45%; 17690210.37; 8534987.21; 9155223.16; Saúde; 08.03%; 10850181.92; 6094634.38; 4755547.54; Urbanismo; 07.26%; 6203796.70; 1901608.27; 4302188.43; Administração; 02.83%; 4731854.22; 3052879.90; 1678974.32;  1.54
