##Instituição;Cod.IBGE;UF;População;"01 - Legislativa";"02 - Judiciária";"03 - Essencial à Justiça";"04 - Administração";"05 - Defesa Nacional";"06 - Segurança Pública";"07 - Relações Exteriores";"08 - Assistência Social";"09 - Previdência Social";"10 - Saúde";"11 - Trabalho";"12 - Educação";"13 - Cultura";"14 - Direitos da Cidadania";"15 - Urbanismo";"16 - Habitação";"17 - Saneamento";"18 - Gestão Ambiental";"19 - Ciência e Tecnologia";"20 - Agricultura";"21 - Organização Agrária";"22 - Indústria";"23 - Comércio e Serviços";"24 - Comunicações";"25 - Energia";"26 - Transporte";"27 - Desporto e Lazer";"28 - Encargos Especiais";"Despesas (Intraorçamentárias)";lof_absoluto_com_pop;lof_absoluto_sem_pop;lof_absoluto_suav;lof_absoluto_suav_norm;lof_relativo;lof_relativo_norm
Prefeitura Municipal de Landri Sales - PI;2205607;PI;5251;588895.94;0;0;1861392.80;0;0;0;530581.81;125059.58;3294344.39;0;4244368.38;138372.64;0;354093.36;746761.72;202946.64;33388.66;0;85060.99;0;0;0;0;0;11502.68;191214.25;46802.62;0;1.07;1.07;1.04;1.04;1.22;1.72
Prefeitura Municipal de Conceição do Pará - MG;3117603;MG;5430;941171.42;0;0;2837356.61;0;23091.32;0;799186.20;1038536.04;4648618.34;0;3428568.37;359083.14;0;1872232.60;3200.33;174056.52;155146.36;0;47164.14;0;5300.00;0;0;0;1145779.58;234620.19;78887.40;0;1.13;1.13;1.01;1.01;1.10;1.16
Prefeitura Municipal de Maracanã - PA;1504307;PA;28643;1101519.42;0;0;3519416.32;0;5919.01;0;1906509.24;1021690.45;9187670.51;0;27100302.90;902828.05;0;2041098.47;0;871244.99;0;0;348462.62;0;0;0;0;0;518300.54;0;0;0;1.05;1.05;1.22;1.15;1.10;1.05
Prefeitura Municipal de Major Vieira - SC;4210308;SC;7841;618546.86;0;0;1591981.94;0;0;0;705835.46;766012.96;5032465.24;0;4856433.70;0;0;4162314.73;15398.21;0;0;0;292338.77;0;0;0;0;0;0;51681.70;556683.01;34757.21;1.25;1.25;1.15;1.10;1.14;1.23
Prefeitura Municipal de Piratuba - SC;4213104;SC;4424;858061.83;0;0;2802293.18;0;216951.55;0;674963.08;0;4997450.05;0;7697626.46;1027836.67;0;2849162.70;56039.17;446939.34;23640.31;0;2123334.93;0;0;670646.23;0;248629.42;4440714.42;371084.00;822398.01;0;1.35;1.35;1.03;1.04;1.49;1.70
Prefeitura Municipal de Morrinhos do Sul - RS;4312443;RS;3209;458479.51;0;0;1970829.51;0;18000.00;0;486176.06;590039.72;2375183.31;0;3069138.20;40150.27;0;148546.57;0;200892.47;59094.74;0;325355.88;0;0;0;0;117711.84;342315.55;40754.00;225136.86;639410.80;1.00;1.00;0.99;1.04;1.08;1.27
Prefeitura Municipal de Nossa Senhora do Livramento - MT;5106109;MT;11444;848914.56;69683.98;0;5159731.07;0;0;0;524025.26;852783.80;4121668.52;0;8172871.07;276951.20;0;743445.33;0;608871.10;0;0;168000.00;0;0;0;0;0;152982.41;105497.71;278815.44;0;1.08;1.08;1.07;1.07;1.04;1.13
Prefeitura Municipal de Faxinal - PR;4107603;PR;17084;0;390206.34;0;5412980.36;0;138.16;0;1281691.99;634340.75;8794980.64;0;7364122.24;391779.47;0;3289706.45;0;0;172740.33;0;0;0;0;1413.54;0;0;1896382.17;276233.15;688153.79;0;1.07;1.07;1.21;1.16;1.07;1.17
Prefeitura Municipal de Jaboti - PR;4111704;PR;5166;0;0;0;2334985.12;0;0;0;650252.98;0;4238007.16;0;2042274.17;30000.00;0;1723792.65;0;0;0;0;295977.99;0;0;0;0;0;111141.62;4469.62;994869.65;0;1.31;1.31;1.05;1.05;1.47;1.35
Prefeitura Municipal de Flor do Sertão - SC;4205357;SC;1603;447153.85;0;0;1505349.85;0;14274.07;0;700631.49;0;2711302.33;0;2258751.82;63127.52;0;312081.14;75650.85;24751.10;0;0;780859.79;0;299963.37;0;9763.60;0;1912336.40;117475.61;104824.41;0;1.01;1.01;1.07;1.07;1.33;1.74
Prefeitura Municipal de Arara - PB;2500908;PB;13258;721682.05;0;0;1753871.59;0;0;0;829470.21;1885031.27;4902927.63;0;6551006.50;194302.34;0;1713954.56;0;821367.58;0;0;155384.00;0;0;0;0;0;400.00;21532.59;109584.71;569103.88;1.14;1.14;0.98;0.98;1.03;1.04
Prefeitura Municipal de Campo Mourão - PR;4104303;PR;92300;5442603.20;0;0;19268226.70;139535.72;278969.76;0;6744370.70;18042730.59;63124511.98;0;44408070.85;1599036.36;1144758.74;12429201.08;0;0;9391871.08;0;1256087.75;0;455891.59;477898.55;0;0;490253.04;3275717.36;5649163.33;11167386.77;1.17;1.17;1.28;1.24;1.13;1.24
Prefeitura Municipal de Anguera - BA;2901502;BA;11209;769695.56;0;0;2030492.48;0;0;0;446743.15;0;4105745.17;0;7914066.45;360906.02;0;1880126.71;18000.00;0;109999.06;0;59449.66;0;104486.93;0;0;0;84566.07;295211.70;837927.17;0;0.99;0.99;1.10;1.06;0.98;1.14
Prefeitura Municipal de Ribeirão Pires - SP;3543303;SP;119644;8635115.43;0;2033585.91;22314347.95;0;3580588.74;0;4346349.61;7248376.52;76488185.44;0;59287184.90;3494960.03;0;20520837.27;0;0;2789371.19;0;0;0;0;1147335.57;0;0;0;3911738.60;10893771.06;0;1.13;1.13;1.21;1.15;1.05;1.38
Prefeitura Municipal de Terenos - MS;5008008;MS;19434;1969311.76;0;2233.97;4349905.02;0;0;0;1255875.14;1460684.66;9883175.58;0;14179470.96;517313.73;0;1885137.19;315067.80;0;516433.55;0;410689.56;828.40;0;9044.00;0;430923.97;2009201.85;92082.91;536393.97;1327066.49;1.06;1.06;1.12;1.95;1.07;1.14
Prefeitura Municipal de Taquaritinga - SP;3553708;SP;56398;1844594.65;638399.62;0;10746810.00;0;1224358.68;0;4167407.08;12576483.58;40248019.59;0;36457274.31;901157.14;0;12809235.30;0;17918939.70;345000.00;0;0;0;0;0;0;0;0;1114081.29;6568514.84;0;1.25;1.25;1.27;1.22;1.28;1.28
Prefeitura Municipal de Vilhena - RO;1100304;RO;89797;6556888.72;0;0;46477432.05;15904.66;0;0;3196430.74;3940475.01;55115309.45;0;43817628.09;685551.41;0;7261434.31;0;1865708.38;1038821.65;0;2671458.01;0;0;0;0;2915381.28;1787119.12;1008152.00;2683799.14;3900459.84;1.29;1.29;1.20;1.43;1.03;1.10
Prefeitura Municipal de Davinópolis - MA;2103752;MA;12650;0;0;0;2330655.72;0;0;0;660192.80;0;4055743.82;0;10502164.40;0;0;1923834.51;0;0;0;0;46091.64;0;0;0;0;0;8406.25;0;412511.61;0;1.03;1.03;1.17;1.14;1.01;1.05
Prefeitura Municipal de Divisa Nova - MG;3122405;MG;6011;391888.75;0;0;1964107.32;0;33746.26;0;670433.55;57290.40;4335623.22;0;3321656.74;180727.46;0;668222.44;0;58518.35;0;0;105047.85;0;0;0;25104.31;0;1161833.49;117216.92;0;0;1.06;1.06;1.11;1.09;1.07;1.22
Prefeitura Municipal de Pimenteiras - PI;2208106;PI;11900;0;0;0;4714804.78;0;0;0;585844.38;0;5666449.70;759.00;8031983.79;1423.10;0;1833826.69;6850.00;113837.03;554585.89;0;220358.42;0;0;0;0;85119.80;33100.00;23079.27;418310.24;0;1.05;1.05;1.06;1.08;1.06;1.26
Prefeitura Municipal de Benevides - PA;1501501;PA;57393;0;0;0;21534295.71;0;0;0;3430551.00;0;21258828.82;0;28234163.13;2583.33;0;8123740.19;0;212552.29;688745.18;0;357617.12;0;0;0;0;1651.69;137374.89;307874.42;0;0;1.12;1.12;1.04;1.11;1.07;1.08
Prefeitura Municipal de Rio Pomba - MG;3155801;MG;17872;670827.98;0;0;3144608.67;0;0;0;918836.99;935331.65;7583593.10;0;6067354.41;149293.98;0;3892228.69;0;1649779.21;249099.60;0;1502372.28;0;0;352610.85;31273.48;0;233941.28;307480.32;589623.71;74297.28;1.12;1.12;1.02;1.03;1.09;1.16
Prefeitura Municipal de Carmópolis - SE;2801504;SE;15283;2436341.77;673335.32;0;14742237.47;0;0;0;6922306.47;0;12499007.08;6225412.63;18875670.08;922280.51;0;9971431.55;629624.03;984455.97;329210.47;0;7800.00;0;335698.51;0;0;0;4139398.00;448368.45;0;0;1.64;1.64;1.37;1.37;1.44;4.34
Prefeitura Municipal de Ribeirão do Pinhal - PR;4121901;PR;13692;0;0;0;2825763.60;0;0;0;631007.76;0;4258912.15;3668871.63;6003153.02;13033.70;0;739188.19;0;0;166020.51;0;81164.49;0;0;0;0;0;0;202387.98;0;0;2.37;2.37;1.19;1.20;2.03;3.38
Prefeitura Municipal de Treze de Maio - SC;4218400;SC;7052;527439.77;0;0;1934042.55;0;0;0;443004.33;0;3595875.96;0;5500662.78;54354.16;0;218093.24;0;2000.00;0;0;1035359.67;0;154700.00;0;0;0;3279886.99;704617.87;397875.93;0;1.21;1.21;1.11;1.10;1.18;1.42
Prefeitura Municipal de Penaforte - CE;2310605;CE;8743;927700.66;0;584691.00;4894247.90;0;0;0;1272024.22;0;5405167.60;0;8780147.19;0;0;1047227.06;0;37749.50;0;0;1227.00;0;0;0;0;0;43521.50;256000.00;233197.27;0;1.04;1.04;1.28;1.18;1.04;1.74
Prefeitura Municipal de Miguelópolis - SP;3529708;SP;21602;3000408.08;0;0;6508558.81;0;1288170.55;0;2107584.40;4993731.05;16610584.49;0;19881449.69;180891.28;0;4160440.15;72789.00;0;7168.17;0;225481.85;0;0;661596.96;0;0;547518.58;455899.63;2845745.49;0;1.09;1.09;1.05;1.06;1.18;1.38
Prefeitura Municipal de Franca - SP;3516200;SP;339461;6097947.82;0;0;40061013.42;97928.10;6536302.64;0;24087420.49;0;144373072.38;0;174285806.90;7165516.03;3481654.76;40176071.46;133324.03;0;919389.60;0;1197532.72;0;1025649.06;212361.63;0;0;20000.00;5300925.33;16644641.22;10995063.97;1.19;1.19;1.30;1.28;0.99;1.37
Prefeitura Municipal de Porto Walter - AC;1200393;AC;10453;0;0;105873.85;3247367.87;0;0;0;582915.05;0;2876934.37;94879.92;9854444.30;21120.00;0;2282469.59;0;0;0;0;142183.49;0;0;0;0;0;3000.00;437746.99;429891.35;0;1.18;1.18;1.18;1.18;1.23;1.47
Prefeitura Municipal de Correia Pinto - SC;4204558;SC;14063;1984119.47;375295.22;0;5781298.39;0;517974.43;0;1670022.32;0;7857913.26;0;12675816.05;100000.00;17302.59;4005448.63;36848.55;0;68291.66;0;1413453.78;0;117073.57;0;0;0;0;432599.58;1995151.25;0;1.13;1.13;1.28;1.22;1.11;1.42
Prefeitura Municipal de São José das Missões - RS;4318457;RS;2748;0;0;0;3913351.75;0;0;0;406882.55;0;2280883.53;0;2364906.79;266098.66;0;0;0;0;501556.55;0;116465.74;0;3746.95;0;0;0;0;1000.00;26000.00;0;1.14;1.14;1.26;1.21;1.26;1.71
Prefeitura Municipal de Chapadão do Céu - GO;5205471;GO;8318;2217700.29;0;0;5915195.78;0;451988.00;0;2477243.60;2011037.08;9912194.66;0;11062260.61;1118543.53;0;4148449.02;0;526742.94;1857260.61;0;658577.73;0;870897.27;0;49905.31;0;1548486.44;154399.63;0;1167796.50;1.15;1.15;1.19;1.17;1.09;2.07
Prefeitura Municipal de Irapuã - SP;3521507;SP;7721;914642.55;0;0;2730489.62;0;0;0;826918.71;297298.01;5685458.54;0;5007835.90;220874.79;0;954907.45;0;0;399.00;0;168881.04;0;0;0;0;0;1356053.28;257806.92;285649.06;0;1.04;1.04;0.98;0.98;1.02;1.10
Prefeitura Municipal de Altos - PI;2200400;PI;39625;0;0;0;7686940.21;0;0;0;1800676.01;1727970.17;14035383.27;0;22149719.96;594784.15;0;1075701.63;0;1181480.05;31149.99;0;492627.67;0;0;0;1368.34;1362787.16;442072.35;338420.24;24124.49;0;1.07;1.07;1.10;1.10;1.03;1.10
Prefeitura Municipal de Medeiros - MG;3141306;MG;3676;649962.84;0;0;1773561.57;0;0;0;446755.54;452861.74;2624069.60;0;3572581.21;32192.96;0;859035.20;0;0;75998.69;0;206090.32;0;0;0;0;127844.03;625496.61;55047.86;355784.67;0;0.99;0.99;1.02;1.03;1.05;1.26
Prefeitura Municipal de Iapu - MG;3129301;MG;10820;752402.52;190125.03;0;4256511.96;0;27616.08;0;610250.21;0;4993400.86;0;4685865.86;222231.48;0;1384557.24;0;157439.88;0;0;159806.76;0;0;0;0;0;613679.64;119261.07;0;0;1.07;1.07;1.10;1.08;1.04;1.20
Prefeitura Municipal de Orizona - GO;5215306;GO;15140;1373922.75;51269.06;0;2184520.47;0;92698.88;0;1739624.50;4071678.00;8585837.15;40000.00;10718578.90;91174.29;72733.13;3194851.00;0;20002.00;89402.04;0;698876.80;0;78618.41;0;0;0;278778.15;345645.80;444162.35;0;1.16;1.16;1.13;1.15;1.15;1.12
Prefeitura Municipal de Dom Macedo Costa - BA;2910206;BA;4140;573148.83;0;0;2338767.21;0;0;0;655379.07;0;2696364.92;0;2910989.92;181460.56;0;733011.30;0;18293.78;0;0;0;0;0;0;0;0;0;32266.22;172908.29;0;0.98;0.98;1.06;1.10;1.03;1.12
Prefeitura Municipal de Barra Mansa - RJ;3300407;RJ;179697;0;2574600.20;0;70722962.00;0;0;0;6123395.37;44522803.50;100508793.26;2732878.55;95803109.72;2701976.21;0;18313881.71;924886.88;0;140816.49;0;614143.00;0;0;110000.00;0;2810985.47;1398749.15;1783055.69;7637858.88;0;1.32;1.32;1.30;1.34;1.14;1.32
Prefeitura Municipal de Coronel Freitas - SC;4204400;SC;10236;659099.16;0;0;3940294.26;0;56839.15;0;1380580.79;0;5681432.83;0;6641432.83;247428.74;0;3470110.99;150092.81;5059785.84;0;0;1147971.77;0;0;0;0;228684.07;1751830.74;311911.21;0;0;1.84;1.84;1.11;1.13;1.64;1.72
Prefeitura Municipal de Galinhos - RN;2404101;RN;2516;0;0;0;15808826.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.59;3.59;1.68;3.16;5.08;4.09
Prefeitura Municipal de Chiapetta - RS;4305405;RS;4080;395480.84;193235.94;0;1829023.29;0;2500.00;0;375649.96;0;3311810.39;0;3459621.51;32085.30;70702.37;1649934.80;27835.96;5910.29;161751.66;0;625755.64;0;0;124232.58;0;124083.18;848015.95;28783.20;484681.18;0;1.06;1.06;1.11;1.21;1.08;1.59
Prefeitura Municipal de Quixabeira - BA;2925931;BA;10038;610439.81;0;0;1878298.58;0;0;0;440015.14;740836.05;2677303.64;0;7445877.41;235146.78;0;1710876.80;35000.00;584204.60;0;0;59474.76;0;0;0;0;0;148448.57;12802.00;274817.54;408626.67;1.07;1.07;1.03;1.02;1.08;1.12
Prefeitura Municipal de Josenópolis - MG;3136579;MG;4804;597644.60;36374.42;0;1446614.12;56558.92;0;0;504373.73;0;2600707.76;0;3136484.99;233071.11;0;1145126.59;4144.43;184801.97;0;0;157455.50;0;0;0;1200.00;57022.17;372307.13;15521.80;264658.48;0;0.97;0.97;1.14;1.01;1.01;1.77
Prefeitura Municipal de Betânia - PE;2601805;PE;12487;852021.69;0;0;2421234.47;0;0;0;1466174.92;1706203.65;3998990.85;0;9799355.92;585599.80;0;927869.37;0;0;116451.21;0;184782.96;0;0;0;0;0;210042.18;85480.46;165846.58;0;1.11;1.11;0.98;0.99;1.15;1.05
Prefeitura Municipal de Traipu - AL;2709202;AL;27648;1360992.60;0;0;7181814.67;0;679876.45;0;2155809.57;0;7258314.24;0;18596112.78;498978.61;0;2221161.22;0;0;30375.92;0;193694.76;0;99601.70;0;148813.60;0;0;153263.29;270727.78;0;1.04;1.04;1.29;1.25;1.03;1.47
Prefeitura Municipal de Codó - MA;2103307;MA;119962;3596455.24;0;0;15130150.13;0;498320.85;0;6095701.82;0;40238584.74;0;82765603.40;3187101.49;0;11147140.42;0;282298.40;240200.61;0;890149.46;0;347360.35;0;41894.79;1878715.83;2218600.83;902014.27;1686105.26;0;1.22;1.22;1.19;1.25;0.98;1.05
Prefeitura Municipal de Maratá - RS;4311791;RS;2649;549785.75;0;0;3561071.66;0;11691.00;0;432953.28;211198.47;2698369.79;0;2362679.73;154896.24;0;95063.33;0;21963.58;164504.49;0;511280.89;0;141089.60;103496.38;0;0;587181.49;70053.12;45970.92;356834.45;1.05;1.05;1.01;1.03;1.12;1.47
Prefeitura Municipal de Umirim - CE;2313757;CE;19437;1207874.33;0;0;2915191.02;0;0;0;1925420.96;0;9435743.06;0;13799357.20;553589.71;0;2440191.50;0;144176.16;0;0;659464.53;0;0;0;0;0;64754.00;3970.00;136782.60;0;1.00;1.00;0.97;0.99;1.00;0.99
Prefeitura Municipal de Serra Azul de Minas - MG;3166501;MG;4358;496883.09;88319.68;0;1217469.81;15705.33;15833.50;0;412422.83;68503.89;2624340.68;0;2815330.17;408027.55;0;1393570.17;294478.94;86925.44;0;0;305596.76;0;0;0;32821.33;0;115672.17;73526.52;864531.91;0;1.07;1.07;1.06;1.01;1.16;1.63
Prefeitura Municipal de Bujaru - PA;1501907;PA;27349;0;0;0;2935114.53;0;0;0;1286982.19;0;6221928.10;0;20976957.16;128010.92;0;2427691.98;0;12278.83;131260.63;0;194285.48;0;0;0;0;0;19855.18;0;1319198.55;0;1.11;1.11;1.09;1.12;1.08;1.05
Prefeitura Municipal de Acaiaca - MG;3100401;MG;4050;612215.40;56594.81;0;1321374.27;0;26888.83;0;615886.63;0;2898197.13;0;2975399.35;512007.40;0;1432777.80;0;1482648.72;0;0;65471.80;0;0;0;0;0;8372.80;40720.42;365943.15;83095.00;1.46;1.46;1.10;1.08;1.36;1.56
Prefeitura Municipal de Parnamirim - PE;2610400;PE;21093;1248938.31;0;0;2667568.24;0;0;0;1321733.66;2789867.02;7606514.77;273540.38;14363682.67;1096051.72;0;2192763.34;0;75000.00;0;0;1165486.58;0;0;7962.44;0;0;466979.99;99891.58;722045.35;18784.23;1.09;1.09;1.15;1.11;1.07;1.06
Prefeitura Municipal de Piacatu - SP;3537701;SP;5683;390891.93;0;0;1432994.72;0;0;0;792402.80;137457.32;4039466.67;52937.08;4227204.51;216753.08;0;927546.56;0;0;129822.92;0;158337.80;0;105365.54;55820.44;51556.57;0;856435.17;276349.28;455920.60;0;1.01;1.01;1.15;1.13;1.03;1.41
Prefeitura Municipal de Redenção do Gurguéia - PI;2208700;PI;8580;468161.06;0;0;2294756.69;0;0;0;438971.66;0;4688925.21;20300.93;6481019.08;18950.00;0;398425.93;0;61556.95;375272.78;0;264827.59;0;0;0;0;122235.37;0;30601.00;83493.01;0;1.04;1.04;1.13;1.12;1.05;1.26
Prefeitura Municipal de Jaraguari - MS;5004908;MS;6779;909190.40;0;0;4082219.86;4312.56;0;0;1123003.72;0;4503034.55;0;5271271.76;43786.00;0;10240.95;0;429829.47;111478.31;0;275464.04;0;0;0;0;300.00;1073160.61;61461.07;418255.49;0;1.09;1.09;1.04;1.28;1.08;1.19
Prefeitura Municipal de Pedrinhas Paulista - SP;3537156;SP;3062;604393.11;41917.38;0;1804192.31;0;0;0;1121196.89;0;3914734.94;66053.80;3129674.78;565104.85;0;2280363.36;0;0;30381.54;0;336974.83;0;0;0;0;0;98591.80;204786.17;389908.09;0;1.11;1.11;1.13;1.16;1.16;1.40
Prefeitura Municipal de Dom Pedrito - RS;4306601;RS;39920;3091583.54;401800.82;0;6690341.05;0;194151.52;0;2593416.42;7700691.87;13774223.61;997481.21;19336657.06;890515.89;0;4847600.96;57.30;44894.88;207858.25;0;1318761.83;0;0;0;0;687893.51;1772052.71;199648.88;1904421.29;7235341.25;1.16;1.16;1.05;1.08;1.05;1.24
Prefeitura Municipal de Macuco - RJ;3302452;RJ;5380;1555105.19;0;0;8919722.34;0;0;0;930563.63;0;7924990.43;190790.59;5879303.27;261566.75;0;2510497.11;0;0;1386659.19;0;398899.94;0;0;596332.16;0;0;0;221024.08;0;0;1.28;1.28;1.18;1.21;1.24;1.96
Prefeitura Municipal de Joaçaba - SC;4209003;SC;28705;2362741.68;0;0;9480129.55;0;1246472.90;0;3303222.99;5380696.23;15319329.89;3143307.86;21592600.49;232814.53;172468.22;17091001.31;178517.90;11094614.43;169841.22;1005439.01;2379567.88;0;195182.19;34468.81;2160.00;0;849033.22;1926610.94;5250622.55;0;1.64;1.64;1.13;1.11;1.65;2.93
Prefeitura Municipal de Areal - RJ;3300225;RJ;11879;1974215.94;0;0;11037593.30;70568.94;0;0;1285519.25;3421273.22;9442059.10;69337.06;10145811.96;503126.28;0;53600.00;0;286803.91;814734.42;0;9187.00;0;0;0;38359.55;539059.48;0;11300.97;0;3048469.58;1.20;1.20;1.30;1.35;1.11;1.75
Prefeitura Municipal de Senador Guiomard - AC;1200450;AC;20992;0;0;262175.46;3817867.39;0;0;0;1302019.13;266292.98;8200413.33;0;15458942.39;0;0;2739240.27;0;0;0;0;1464335.53;0;0;0;0;0;336476.77;35482.55;647646.70;0;0.99;0.99;1.32;1.26;0.99;1.37
Prefeitura Municipal de Realeza - PR;4121406;PR;16978;0;0;0;2077382.38;0;0;0;976760.25;1643044.16;9433031.35;41469.81;9186206.07;134023.93;0;2286615.68;0;135402.76;28816.80;0;888674.80;0;276571.11;44185.47;0;0;2826483.36;248943.67;497609.78;0;1.10;1.10;1.18;1.13;1.14;1.27
Prefeitura Municipal de Coribe - BA;2909109;BA;15000;1113282.68;69124.74;0;2360382.54;0;22786.57;0;1063766.95;112974.19;6955840.36;0;11339790.93;758924.20;0;3536804.09;0;889670.14;0;0;139812.87;0;0;0;0;188285.77;635342.83;786728.07;374503.50;0;1.02;1.02;1.02;1.03;1.05;1.21
Prefeitura Municipal de Silvanópolis - TO;1720655;TO;5318;496719.35;0;0;2509074.30;0;0;0;613143.46;0;2626917.89;75337.28;3860400.10;12453.33;0;309815.36;0;0;163203.61;0;761835.54;0;0;0;0;0;28665.43;134241.76;0;0;1.03;1.03;1.05;1.06;1.06;1.31
Prefeitura Municipal de Piranguçu - MG;3150901;MG;5454;404763.57;0;0;1862436.00;0;0;0;404543.75;0;2748257.91;0;3383271.74;140262.27;0;119004.30;7329.60;369740.56;4679.84;0;144254.94;0;0;13977.60;0;106450.18;729002.77;13828.76;276165.81;0;1.03;1.03;1.03;1.03;1.11;1.17
Prefeitura Municipal de Pedra Mole - SE;2805000;SE;3170;600646.84;0;0;2218876.15;0;0;0;624635.69;0;2273178.38;0;3735747.24;74891.00;0;618289.99;0;0;0;0;540326.12;0;0;0;0;0;0;12865.00;0;0;0.99;0.99;1.00;1.01;1.08;1.16
Prefeitura Municipal de Serra Preta - BA;2930402;BA;15507;969227.74;0;0;5021981.96;0;0;0;809064.06;0;6326745.89;0;11545644.75;1069700.45;0;129052.43;0;0;0;0;0;0;0;0;0;0;0;94983.21;1173752.89;0;1.05;1.05;1.06;1.08;1.06;1.25
Prefeitura Municipal de São José de Ubá - RJ;3305133;RJ;7175;1645719.92;0;0;9226735.77;0;0;0;1318862.30;259073.33;8623113.25;0;6300430.72;345023.84;0;3612443.22;405407.44;0;466309.91;0;297339.80;0;0;0;0;0;1522609.92;42493.21;36413.52;0;1.28;1.28;1.06;1.09;1.17;1.37
Prefeitura Municipal de Monte Alegre do Piauí - PI;2206605;PI;10441;706010.59;0;133941.59;2786618.44;0;0;0;543759.39;0;4143427.85;0;10217888.89;79048.65;0;270985.57;0;717691.21;0;0;46874.28;0;0;0;22979.15;0;48285.73;2840.00;442993.06;0;1.05;1.05;1.20;1.14;1.04;1.46
Prefeitura Municipal de Querência - MT;5107065;MT;15121;2161845.17;0;868.25;6780047.10;0;68634.06;0;1803205.59;242077.58;12125721.70;521831.89;11522729.83;400872.40;0;3889084.18;0;1394898.94;0;0;1042917.06;0;0;0;0;570632.80;7261375.18;942307.13;56385.05;0;1.40;1.40;1.15;1.17;1.08;1.42
Prefeitura Municipal de Brejinho de Nazaré - TO;1703701;TO;5426;525055.61;0;0;2858547.79;0;0;0;405644.82;0;2835078.75;0;3540973.67;151005.80;0;222045.93;250558.39;0;148063.69;0;292345.42;0;0;0;0;0;256545.16;3564.00;174370.62;0;1.01;1.01;1.04;1.06;1.03;1.40
Prefeitura Municipal de Piquete - SP;3538501;SP;14199;1145994.14;0;24109.70;2265195.16;0;390896.07;0;907056.54;288167.95;6760842.26;0;6489688.24;42333.35;0;2699822.71;0;200121.82;262937.59;0;256131.89;0;0;645392.32;0;0;45096.10;226283.03;123149.40;0;1.08;1.08;1.04;1.09;0.99;1.41
Prefeitura Municipal de Tianguá - CE;2313401;CE;72803;3134841.96;0;766816.06;6288193.56;0;0;0;5625034.48;0;35792274.19;0;56123709.18;1912933.76;0;10889378.55;431672.40;236553.72;0;0;737252.38;0;0;0;0;0;135234.64;973288.15;0;0;1.14;1.14;1.29;1.23;1.07;1.26
Prefeitura Municipal de Nova Independência - SP;3533205;SP;3507;1044594.84;0;0;2092380.63;0;26510.96;0;865238.57;844760.99;4632049.16;0;6135309.01;336866.21;0;1803430.84;106511.37;409099.82;0;0;546708.92;0;0;0;0;0;226898.15;164042.57;533161.60;0;1.02;1.02;1.06;1.05;1.18;1.32
Prefeitura Municipal de Areial - PB;2501203;PB;6860;541707.01;0;0;1679005.57;0;800.00;0;1015038.14;0;2868577.27;0;5399993.28;274858.99;0;1112865.91;0;0;0;0;186114.10;0;0;0;0;0;0;35825.87;232287.30;0;0.99;0.99;0.99;0.99;1.01;1.08
Prefeitura Municipal de Engenheiro Beltrão - PR;4107504;PR;14303;0;0;0;5700321.23;72974.46;0;0;883983.02;364383.82;8774702.01;0;9710066.65;72195.19;0;1027716.22;0;0;3000.00;0;196710.09;0;515556.41;0;0;0;3021844.26;227078.24;0;0;1.11;1.11;1.26;1.19;1.08;1.77
Prefeitura Municipal de Porto Firme - MG;3152303;MG;11033;674207.77;0;0;1278350.68;0;0;0;314590.72;326880.64;4913597.84;0;3294963.60;555962.03;0;1875182.04;0;174362.17;0;0;359667.02;0;0;0;0;2053.00;359076.43;218037.68;183419.16;0;1.15;1.15;0.99;0.99;1.04;1.11
Prefeitura Municipal de Batalha - PI;2201507;PI;26277;1069019.17;0;0;3088392.18;0;0;0;1253569.79;0;9586943.26;54939.70;17174158.71;265369.04;0;2177560.29;0;316082.79;0;0;427561.35;0;0;0;0;160630.88;274489.00;28147.95;541779.12;0;1.00;1.00;1.11;1.12;0.98;0.97
Prefeitura Municipal de Acajutiba - BA;2900306;BA;15668;1033532.26;170097.78;0;2045833.10;0;0;0;901246.99;0;6071313.63;172.49;9019098.03;419158.33;0;2985501.41;0;0;0;0;354097.91;0;0;0;0;0;0;0;491460.66;0;1.01;1.01;1.21;1.13;0.98;1.04
Prefeitura Municipal de Cerqueira César - SP;3511409;SP;18909;1036151.12;0;0;5441821.93;0;0;0;1669187.83;2576944.88;12481798.70;0;11089411.37;219533.65;0;4311474.67;0;1110121.20;373965.04;0;546349.72;0;0;102564.22;0;0;694574.04;155072.83;75987.88;3834647.47;1.07;1.07;1.01;1.01;1.01;1.12
Prefeitura Municipal de Tefé - AM;1304203;AM;62662;3318798.07;0;0;9183323.15;0;0;0;2896757.08;566004.60;25177537.11;0;45357094.33;2171652.20;0;6750518.21;0;0;5986987.48;0;665176.08;0;0;0;0;661098.01;0;689077.98;0;0;1.09;1.09;1.19;1.21;1.07;1.18
Prefeitura Municipal de Floresta - PE;2605707;PE;31454;0;0;0;6769051.97;0;0;0;3912738.20;0;14016737.43;0;25691947.62;1918157.19;0;2397476.00;0;490508.00;0;0;1812035.21;0;0;196.14;0;347224.41;0;67871.80;384775.39;0;1.03;1.03;1.16;1.14;1.05;1.25
